Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
Tata India Consumer Fund,"Sectoral Fund - Consumption","Growth","2324.8596698151","23.04150300065433","0.76","16.939687344222147","0.5143340548709564","3.09","0.0538","8.126160576803784","114","Very High","49.2124"
Tata Treasury Advantage Fund,"Low Duration Fund","Growth","2324.4440480396","7.372600970040644","0.25","0.40956230295279866","10.17238464078114","-0.18","1.3665","0.12382116135782284","149","Moderately Low","4026.4418"
Aditya Birla SL Income Fund,"Medium to Long Duration Fund","Growth","2303.5818","8.390252588929759","0.74","1.7985817412617087","3.6019258348833336","0","0.403","0","149","Moderate","136.6495"
Kotak Manufacture in India Fund,"Thematic Fund","Growth","2303.3417","23.8598661384567","0.57","19.738363081066275","0.12064625978454534","4.04","0.0112","4.211506936952615","40","Very High","19.319"
ITI Small Cap Fund,"Small Cap Fund","Growth","2293.791","32.6871905270705","0.56","24.01019314791116","0.3270148620475834","5.12","0.0303","4.640118649345079","64","Very High","30.775"
ICICI Pru Bharat 22 FOF,"FoFs (Domestic) - Equity Oriented","Growth","2270.5227647039997","31.991183411472733","0.12","21.5131330605284","-0.10318430113151904","0.44","-0.0094","4.2924669270711915","84","Very High","32.0549"
Bandhan Balanced Advantage Fund,"Balanced Advantage Fund","Growth","2254.2272","13.813685162140633","0.74","8.697642859993737","0.6222807083623917","0","0.0598","0","128","Moderately High","27.584"
HSBC Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","2250.3518","30.39445897646975","1.02","24.638823659420108","-0.0730227361853827","0.96","-0.0066","9.424695320274285","149","Very High","52.633"
SBI Credit Risk Fund,"Credit Risk Fund","Growth","2247.8932999999997","8.741846294487443","0.89","0.9746947829961953","5.4116197316515136","0","0.6397","0","149","High","49.0783"
Axis CRISIL IBX SDL May 2027 Index Fund,"Flexi Cap Fund","Growth","2243.0954","8.153524874723539","0.16","0.8334116629853461","6.4196509811671225","0","0.944","0","40","Moderately Low","12.3225"
