Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","RSI – 14D","Pledged Promoter Holdings","Promoter Holding","Beta","6M Return vs Nifty","5Y CAGR","Debt to Equity","ROCE","Return on Equity","Dividend Yield","Free Cash Flow"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","293254.23962432","2540.8","41.30923223331736","79.5714285714286","0.6671398860273294","73.97203328283953","1.51851501590696","0.4973780373003436","76.49669850623408","1.4780636708807187","14.111442447415914","7.89399234907405","0.0505364034701954","-12053.72"
Bharat Electronics Ltd,BEL,"Electronic Equipments","282742.24510572","386.8","53.13265678194624","95.1623169955443","0","51.13591014779525","1.23494881066946","23.12335793068261","75.77742865252233","0.003824553868330357","40.63384564731276","26.366796729858663","0.6204756980351602","4006.96"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","272600.69793489","293.1","17.56284841708565","44.8504983388705","0","51.33950841176025","0.935143678452904","-13.510540470251279","27.029376317241606","1.417362488841887","13.527346721031838","18.302911064961553","3.070624360286592","25885.760000000002"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","266703.538134625","724.45","9.58331074863906","56.2770562770563","0","42.57593362775191","1.32136783175655","-11.214452951895757","52.79102093792467","0.5827915994590808","20.79709352367456","25.786664689967015",,"25060"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","263045.82807764","4042.3","97.13585131484997","55.5714968914395","0","74.646145998531","1.17763175936805","6.9817072051840565","12.239419518728646","0.031670815206869","19.496971345268722","14.585698462048079",,"14.590000000000146"
Wipro Ltd,WIPRO,"IT Services & Consulting","261259.896882006","250.14","19.889755689358974","58.3213920163767","0","72.73435775051207","0.85295054849421","-17.48966739000263","18.64468933879797","0.22051106914701277","21.231022648050487","14.495602839485603","2.3999725828690135","16570.6"
Bajaj Auto Limited,BAJAJ-AUTO,"Two Wheelers","247721.34379415","8874.5","32.137212099538935","79.9196787148594","0.00494955181310584","55.041783140962806","0.80100832144805","-5.7133736941094835","26.77070233855798","0.06600760571803048","33.387036955011254","26.432494221501035","0.9015929002290287","5835.32"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","245561.0251536","1006.2","70.08020124246575","61.2637362637363","5.990224434263589","44.83786066901576","0.922169686100931","-1.2542806231661954","40.4361572679977","1.1019395579612088","8.335135602750984","11.998583916560007",,"-3723"
Coal India Ltd,COALINDIA,"Mining - Coal","245399.84198114","398.2","6.940401932146358","66.3900414937759","0","63.13333529492123","0.887041363277187","-8.48386300850496","23.024559525027733","0.07804357163452853","27.408929303399574","51.5198953796922","6.654947262682069","1281.7599999999984"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","234772.26846","2435","73.19272988754794","64.308093994778","0","62.76474573916975","0.700064553576586","5.222131602549936","6.779999320253816","0.10312521513728377","67.79544357460571",,"1.108829568788501","2292.12"
Asian Paints Ltd,ASIANPAINT,"Paints","219964.43493932002","2294.3","59.98108516218504","49.2469451548736","4.894582482305344","52.62576741341325","1.10894518213569","-10.363632551020348","6.3917756052551455","0.1273898663898911","24.907183755369804","30.44491472855684","1.0814523356269958","3607.5200000000004"
Adani Power Ltd,ADANIPOWER,"Power Generation","212883.744848495","551.95","16.453167097683554","69.8066435299951","1.3559976136526553","74.95906497940072","0.807047339168304","-2.355524239000517","72.2501746027921","0.7946330815573309","25.845214463863307","56.77420638582015",,"11567.7"
Eternal Ltd,ETERNAL,"Online Services","207197.489337843","228.37","393.1641163905939","50.7636905501056","0","0","0.934921505236468","-22.072242953984805",,"0.03670489071841615","4.00037606355474","1.7612082591133746",,"431"
Interglobe Aviation Ltd,INDIGO,"Airlines","205662.6862518","5322","28.33443820288219","59.954954954955","0","49.269871408838114","1.21743600680131","17.789618448607598","40.69041750280667","25.68585925877691","24.643863370006596",,"0.1876756041820016","20114.93"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","203631.366496792","163.12","59.532457585795854","85.1903114186852","0","33.192488570971115","1.58540431969849","8.50197383206819","40.7787288175518","0.9421133680555179","9.217668777303299","-4.491155340663164","2.205340570668295","2094.0699999999997"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","202922.19556371","143.7","14.923119816361307","63.5500365230094","0","51.498314593674124","1.15767743153043","1.4840242235753047","20.97929337809259","0.7048546956473586","9.8976211613011","25.185604132473525","2.035986250061479","66092.78"
Trent Ltd,TRENT,"Retail - Apparel","201099.2566877","5657","130.01658780367498","71.2003117692907","0","37.005772476458745","1.24082007532946","-19.78479422031301","64.55476084497857","0.4272886152406163","38.58046218337874","43.952015797657474","0.08838607035531201","612.03"
DLF Ltd,DLF,"Real Estate","196477.86666375","793.75","44.98511012032869","95.2780106174909","0","74.07690839724894","1.4667463327617","-9.429847830777828","39.42572788943575","0.12258845124507976","5.915161755466497","7.072033815892695","0.7559055118110236","2423.29"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","196371.700525","464.75","18.96761330290737","79.9045599151644","59.29422067304267","63.416476223452","0.627626171228291","-10.487993177709576","22.057855465061003","0.5740046067785456","63.537780862323245","55.17118782664344","6.2468267918463605","9531"
Jio Financial Services Ltd,JIOFIN,"Consumer Finance","183375.390422475","287.85","113.71482548104294","84.1695501730104","0","47.124517973302545",,"-15.604538604898334",,"0","1.3454334417101157","1.2670767724307848","0.1732316472063888","-678.36"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","182906.809976","139.96","28.130853579821586","80.0255102040816","0","86.36363636363636","1.05050557592004","-7.881305939184261",,"8.378416045850868","1.4097483425754387","13.663317094749608","0.5715918833952558","7905.77"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","182898.376695","1825","75.78766696846624","79.6682464454976","0","55.381755355630034","0.975230883367157","25.424672162637627","18.879466509393474","0","0.6855185018454736","13.562753616337767","0.14783929766687315","28993.11"
Vedanta Ltd,VEDL,"Metals - Diversified","176383.0795491","451.65","11.768286599219374","80.7017543859649","56.38122664202889","56.38488346579972","1.31984305056749","-4.84365305137702","37.40869615719535","2.084813045235209","33.612286103218615","9.265978840605055","9.174349399821764","18902"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","176045.488827","6631.5","80.34937874349612","71.972443799855","0","51.89129726764652","0.708049564876707","3.1020716486445448","22.641976335060864","0.0002210596124088129","20.57537723875335","12.149745614701192","0.45238633793259453","258"
Grasim Industries Ltd,GRASIM,"Cement","174614.21638474","2573.6","47.12069482112325","43.9929328621908","0","43.11194491098729","0.961693109356705","-7.36441187341098","34.40033351914175","0.9870052807667129","7.296413188475544","4.29557733460117","0.3771051633900906","-30204.36"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","168130.84947915","780.9","92.84790839462205","80.4800724637679","0","50.3180778483296","0.921693351507501","19.066326021971264","8.339178337763787","0.06477412580498897","0.4389188508557684","11.381916297082906","0.2686587633377867","10585.4"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","165350.669327675","1019.05","114.5087737726281","77.3189823874755","0","60.93643737776947","1.9895372202223","-26.172598982156515","32.59858017552997","3.7172168729940394","11.77185646212195","8.871683200258085",,"-8060"
Varun Beverages Ltd,VBL,"Soft Drinks","163361.02225206","483.05","62.96095884286837","43.0672268907563","0.02341376246469814","60.23496529796547","1.11379870233875","-27.63241469628737","53.7956088146893","0.1688357694669658","21.05367573054392","21.781458426900265","0.2069961347194838","-397.9100000000003"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","156663.12928","1600","36.84890727507935","66.5524758642167","0","35.00526385403383","1.06571601140201","-11.270526921913616","24.70822727490902","0.09344379448038075","19.56898386964711","8.490228027691028","2.5349634219945285","5585.299999999999"
